Route,Day,Location,Incident,Min Delay,Min Gap,Date_,Month,Hour
89,Monday,KEELE AND GLENLAKE,Vision,10,20,2024-01-01,1,2
39,Monday,FINCH STATION,General Delay,20,40,2024-01-01,1,2
320,Monday,YONGE AND QUEENSQUAY,Operations - Operator,8,16,2024-01-01,1,3
171,Monday,MOUNT DENNIS GARAGE,General Delay,20,20,2024-01-01,1,4
12,Monday,VICTORIA PARK AND DANF,Emergency Services,21,42,2024-01-01,1,4
300,Monday,DANFORTH AND WOODBINE,Security,10,20,2024-01-01,1,4
600,Monday,LAKESHORE AND THIRTY S,Cleaning - Unsanitary,25,50,2024-01-01,1,5
300,Monday,BLOOR AND DUNDAS W,Diversion,18,38,2024-01-01,1,6
35,Monday,PIONEER VILLAGE,General Delay,20,40,2024-01-01,1,6
168,Monday,DUNDAS AND BLOOR,Diversion,20,110,2024-01-01,1,6
600,Monday,DANFORTH AND SIBLEY (W,Security,23,46,2024-01-01,1,6
39,Monday,FINCH AND KENNEDY,Mechanical,12,24,2024-01-01,1,7
51,Monday,DUPLEX AND EGLINTON,Mechanical,21,42,2024-01-01,1,7
54,Monday,EGLINTON AND BESSBOROU,Mechanical,14,28,2024-01-01,1,7
85,Monday,TORONTO ZOO,Security,20,40,2024-01-01,1,7
900,Monday,TERMINAL 3,Security,8,16,2024-01-01,1,7
54,Monday,LESLIE AND EGLINTON,Mechanical,15,30,2024-01-01,1,8
7,Monday,BATHURST STATION,Mechanical,10,20,2024-01-01,1,8
935,Monday,KIPLING STATION,Operations - Operator,10,20,2024-01-01,1,8
75,Monday,QUEENS QUAY AND LOWER,Emergency Services,24,48,2024-01-01,1,9
34,Monday,EGLINTON AND LEBOVIC,Mechanical,11,15,2024-01-01,1,9
900,Monday,KIPLING STATION,Operations - Operator,14,28,2024-01-01,1,9
66,Monday,OLD MILL STATION,Mechanical,25,50,2024-01-01,1,9
54,Monday,EGLINTON AND BAYVIEW,Mechanical,8,16,2024-01-01,1,10
131,Monday,SCARBOROUGH CENTRE STA,Mechanical,15,30,2024-01-01,1,10
96,Monday,HUMBERLINE LOOP,Security,10,20,2024-01-01,1,11
112,Monday,KIPLING STATION,Operations - Operator,22,44,2024-01-01,1,11
52,Monday,AVENUE AND WILSON,Mechanical,10,20,2024-01-01,1,11
95,Monday,ELLESMERE AND MEADOWVA,Diversion,15,35,2024-01-01,1,11
26,Monday,ANNETTE AND KEELE,Diversion,6,34,2024-01-01,1,11
86,Monday,EGLINTON AND MARKHAM,Collision - TTC,7,15,2024-01-01,1,12
960,Monday,PIONEER VILLAGE STATIO,Operations - Operator,10,20,2024-01-01,1,12
60,Monday,PIONEER VILLAGE STATIO,Collision - TTC,10,20,2024-01-01,1,12
84,Monday,ARROW GARAGE,Mechanical,10,20,2024-01-01,1,13
41,Monday,KEELE AND YPRES,Mechanical,12,24,2024-01-01,1,13
50,Monday,BURNHAMTHORPE AND MART,Security,10,20,2024-01-01,1,14
32,Monday,EGLINTON WEST STATION,Cleaning - Unsanitary,20,40,2024-01-01,1,14
131,Monday,KENNEDY STATION,Cleaning - Unsanitary,20,40,2024-01-01,1,14
123,Monday,KIPLING STATION,Mechanical,20,40,2024-01-01,1,14
106,Monday,SHEPPARD WEST STATION,Mechanical,12,24,2024-01-01,1,14
7,Monday,VILLAGE GATE AND BATHU,Cleaning - Unsanitary,8,16,2024-01-01,1,15
45,Monday,KIPLING AND N HEIGHTS,Security,10,20,2024-01-01,1,16
102,Monday,MARKHAM AND STEELES,Mechanical,7,14,2024-01-01,1,16
42,Monday,MCNICOLL AND KENNEDY,Mechanical,20,40,2024-01-01,1,17
96,Monday,1700 WILSON,Mechanical,20,40,2024-01-01,1,17
111,Monday,KIPLING STATION,Mechanical,12,24,2024-01-01,1,17
38,Monday,ELLESMERE AND MARKHAM,Mechanical,12,24,2024-01-01,1,18
600,Monday,ANNETTE AND RUNNYMEDE,Mechanical,5,10,2024-01-01,1,19
19,Monday,BAY AND WELLESLEY,Diversion,28,53,2024-01-01,1,19
165,Monday,WESTON AND LANYARD,Diversion,10,49,2024-01-01,1,19
189,Monday,ST CLAIR AND MONDOVI (,Operations - Operator,28,56,2024-01-01,1,19
84,Monday,SHEPPARD AND JANE,Operations - Operator,10,20,2024-01-01,1,19
12,Monday,KENNEDY STATION,Cleaning - Unsanitary,17,34,2024-01-01,1,19
39,Monday,NEILSON AND CROW TRAIL,Mechanical,5,10,2024-01-01,1,20
53,Monday,STEELES AND WOODBINE,Mechanical,10,20,2024-01-01,1,20
95,Monday,ELLESMERE AND PHARMACY,Security,10,20,2024-01-01,1,20
96,Monday,HUMBERLINE AND ALBION,Mechanical,20,40,2024-01-01,1,21
52,Monday,EGLINTON STATION,Operations - Operator,24,48,2024-01-01,1,21
46,Monday,STEELES AND MARTIN GRO,Emergency Services,15,30,2024-01-01,1,22
903,Monday,KENNEDY STATION,Emergency Services,15,30,2024-01-01,1,22
57,Monday,NORTH SERVICE AND EGLI,Mechanical,25,50,2024-01-01,1,22
79,Monday,PINE AND LAWRENCE,Mechanical,22,44,2024-01-01,1,23
62,Monday,MAIN STATION,Emergency Services,20,40,2024-01-01,1,0
11,Monday,BAYVIEW AND STEELES,Security,24,48,2024-01-01,1,1
320,Tuesday,FINCH AND YONGE,Emergency Services,7,16,2024-01-02,1,3
320,Tuesday,YONGE AND DREWRY,Cleaning - Unsanitary,8,15,2024-01-02,1,4
74,Tuesday,YONGE AND STEELES,Operations - Operator,7,15,2024-01-02,1,4
74,Tuesday,EGLINTON DIVISION,Operations - Operator,7,15,2024-01-02,1,4
36,Tuesday,ARROW GARAGE,Mechanical,20,30,2024-01-02,1,4
52,Tuesday,ARROW ROAD DIVISION,Operations - Operator,7,14,2024-01-02,1,4
935,Tuesday,JANE STATION,Mechanical,10,25,2024-01-02,1,5
76,Tuesday,QUEENSWAY DIVISION,Operations - Operator,8,16,2024-01-02,1,5
111,Tuesday,EGLINTON AND MARTIN GR,Operations - Operator,20,34,2024-01-02,1,5
937,Tuesday,QUEENSWAY DIVISION,Operations - Operator,9,20,2024-01-02,1,5
47,Tuesday,LAWRENCE AND CALEDONIA,Mechanical,19,42,2024-01-02,1,5
34,Tuesday,EGLINTON DIVISION,Operations - Operator,8,15,2024-01-02,1,5
116,Tuesday,MORNINGSIDE AND ELLESM,Mechanical,8,16,2024-01-02,1,5
960,Tuesday,PIONEER VILLAGE STATIO,Mechanical,10,23,2024-01-02,1,5
77,Tuesday,QUEENSWAY DIVISION,Operations - Operator,10,20,2024-01-02,1,5
36,Tuesday,FINCH WEST STATION,Mechanical,7,13,2024-01-02,1,5
84,Tuesday,ARROW DIVISION,Operations - Operator,20,20,2024-01-02,1,5
110,Tuesday,QUEENSWAY DIVISION,Operations - Operator,10,20,2024-01-02,1,5
77,Tuesday,RUNNYMEDE STATION,Operations - Operator,10,17,2024-01-02,1,5
36,Tuesday,FINCH STATION,Operations - Operator,9,18,2024-01-02,1,5
25,Tuesday,DON MILLS STATION,Operations - Operator,9,16,2024-01-02,1,5
24,Tuesday,VICTORIA PARK AND DRAY,Mechanical,10,20,2024-01-02,1,6
47,Tuesday,LANSDOWNE AND DUNDAS,Mechanical,10,20,2024-01-02,1,6
47,Tuesday,LANSDOWNE AND DUNDAS,Mechanical,10,20,2024-01-02,1,6
68,Tuesday,WARDEN AND LAWRENCE,Operations - Operator,27,54,2024-01-02,1,6
129,Tuesday,MCNICOLL GARAGE,Mechanical,24,48,2024-01-02,1,6
165,Tuesday,ARROW ROAD DIVISION,Operations - Operator,6,12,2024-01-02,1,6
29,Tuesday,WILSON STATION,Cleaning - Unsanitary,9,18,2024-01-02,1,6
79,Tuesday,RUNNEMEDE STATION,Mechanical,16,32,2024-01-02,1,6
960,Tuesday,YONGE AND STEELES,Mechanical,6,12,2024-01-02,1,6
34,Tuesday,EGLINTON AND DON MILLS,Cleaning - Unsanitary,15,31,2024-01-02,1,6
56,Tuesday,EGLINTON AND DUNFIELD,Collision - TTC,15,30,2024-01-02,1,7
124,Tuesday,AVENUE ROAD AND ORCHAR,Mechanical,9,18,2024-01-02,1,7
84,Tuesday,ARROW ROAD DIVISION,Operations - Operator,5,10,2024-01-02,1,7
36,Tuesday,ARROW ROAD DIVISION,Operations - Operator,4,13,2024-01-02,1,7
939,Tuesday,KENNEDY STATION,Mechanical,11,22,2024-01-02,1,7
939,Tuesday,KENNEDY STATION,Mechanical,11,22,2024-01-02,1,8
96,Tuesday,HUMBER COLLEGE,Operations - Operator,10,20,2024-01-02,1,8
99,Tuesday,SIGNET AND ORMOND,Mechanical,15,30,2024-01-02,1,8
996,Tuesday,SCARBOROUGH CENTRE STA,Mechanical,11,22,2024-01-02,1,8
52,Tuesday,LAWRENCE WEST STATION,Mechanical,9,24,2024-01-02,1,8
29,Tuesday,WILSON STATION,Operations - Operator,5,12,2024-01-02,1,8
903,Tuesday,CENTENNIAL COLLEGE AND,Mechanical,9,18,2024-01-02,1,8
41,Tuesday,KEELE AND WILSON,Operations - Operator,10,20,2024-01-02,1,8
35,Tuesday,JANE AND LAWRENCE,Operations - Operator,12,24,2024-01-02,1,9
64,Tuesday,MAIN STREET STATION,Operations - Operator,11,22,2024-01-02,1,9
7,Tuesday,BATHURST AND WILSON,Operations - Operator,10,20,2024-01-02,1,9
40,Tuesday,DUNDAS WEST STATION,Operations - Operator,12,24,2024-01-02,1,9
39,Tuesday,FINCH AND SKYMARK,Operations - Operator,20,40,2024-01-02,1,9
113,Tuesday,BIRCHMOUNT GARAGE,Operations - Operator,20,40,2024-01-02,1,9
53,Tuesday,BAYVIEW AND STEELES,Operations - Operator,18,39,2024-01-02,1,9
31,Tuesday,COXWELL STATION,Operations - Operator,15,30,2024-01-02,1,9
9,Tuesday,WARDEN STATION,Mechanical,28,56,2024-01-02,1,9
19,Tuesday,BAY AND BLOOR,Operations - Operator,22,44,2024-01-02,1,9
106,Tuesday,WILSON DIVISION,Operations - Operator,16,32,2024-01-02,1,9
29,Tuesday,EXHIBITION LOOP,Cleaning - Unsanitary,8,16,2024-01-02,1,9
50,Tuesday,BURNHAMTHORPE AND BLOO,Mechanical,20,40,2024-01-02,1,10
960,Tuesday,FINCH STATION,Mechanical,11,22,2024-01-02,1,10
124,Tuesday,ROE LOOP,Mechanical,18,36,2024-01-02,1,10
927,Tuesday,HWY 27 AND DIXON,Operations - Operator,9,19,2024-01-02,1,11
29,Tuesday,DUFFERIN AND DANE,Cleaning - Unsanitary,8,16,2024-01-02,1,11
94,Tuesday,PARLIAMENT AND ST. JAM,Cleaning - Unsanitary,20,40,2024-01-02,1,11
35,Tuesday,JANE AND SHEPPARD,Cleaning - Unsanitary,8,16,2024-01-02,1,11
7,Tuesday,BATHURST STATION,Cleaning - Unsanitary,10,20,2024-01-02,1,11
927,Tuesday,DUNDAS AND HWY 427,Utilized Off Route,9,19,2024-01-02,1,11
21,Tuesday,TRITON AND BRIMLEY,Operations - Operator,20,40,2024-01-02,1,12
24,Tuesday,STEELES LOOP,Operations - Operator,10,20,2024-01-02,1,12
925,Tuesday,PAPE STATION,Operations - Operator,12,24,2024-01-02,1,12
53,Tuesday,STEELS AND MARKHAM,Operations - Operator,19,39,2024-01-02,1,12
72,Tuesday,CARLAW AND QUEEN,Operations - Operator,22,44,2024-01-02,1,13
90,Tuesday,BATHURST STATION,Operations - Operator,8,15,2024-01-02,1,13
88,Tuesday,THORNCLIFFE PARK AND O,Collision - TTC,26,52,2024-01-02,1,13
47,Tuesday,LANSDOWNE AND RIDEAU,Vision,6,17,2024-01-02,1,13
925,Tuesday,PAPE STATION,Cleaning - Unsanitary,12,24,2024-01-02,1,13
129,Tuesday,KENNEDY STATION,Mechanical,25,50,2024-01-02,1,14
25,Tuesday,PAPE AND SAMMON,Mechanical,12,24,2024-01-02,1,14
989,Tuesday,KEELE AND DUNDAS,Mechanical,13,13,2024-01-02,1,14
927,Tuesday,KIPLING STATION,Mechanical,11,22,2024-01-02,1,14
52,Tuesday,WESTWOOD MALL,Mechanical,25,50,2024-01-02,1,15
52,Tuesday,MORNING STAR AND GOREW,Mechanical,25,50,2024-01-02,1,15
953,Tuesday,FINCH STATION,Mechanical,12,24,2024-01-02,1,15
952,Tuesday,ARROW GARAGE,Mechanical,12,24,2024-01-02,1,15
952,Tuesday,LAWRENCE AND SCARLETT,Mechanical,12,24,2024-01-02,1,15
902,Tuesday,ST CLAIR AND W OF KING,Emergency Services,10,20,2024-01-02,1,15
43,Tuesday,PASSMORE AND KENNEDY,Mechanical,10,20,2024-01-02,1,16
97,Tuesday,YONGE AND YORK MILLS,Operations - Operator,25,50,2024-01-02,1,16
105,Tuesday,DUFFERIN AND STEELES,Mechanical,11,23,2024-01-02,1,16
63,Tuesday,NORTHCLIFFE AND ST. CL,Operations - Operator,10,20,2024-01-02,1,16
85,Tuesday,MEADOWVALE AND SHEPPAR,Operations - Operator,14,28,2024-01-02,1,16
32,Tuesday,EGLINTON AND KEELE,Operations - Operator,15,30,2024-01-02,1,16
124,Tuesday,ROE LOOP,Utilized Off Route,7,15,2024-01-02,1,16
17,Tuesday,WARDEN STATION,Security,8,16,2024-01-02,1,16
38,Tuesday,ELLESMERE AND MARKHAM,Operations - Operator,13,26,2024-01-02,1,16
96,Tuesday,CARRIER LOOP,Operations - Operator,20,40,2024-01-02,1,16
939,Tuesday,FINCH WEST STATION,Operations - Operator,12,24,2024-01-02,1,16
125,Tuesday,ANTIBES AND BATHURST,Security,15,30,2024-01-02,1,16
960,Tuesday,FINCH STATION,Vision,9,18,2024-01-02,1,16
960,Tuesday,FINCH STATION,Mechanical,14,28,2024-01-02,1,17
47,Tuesday,YORKDALE STATION,Mechanical,12,24,2024-01-02,1,17
107,Tuesday,PETROLIA AND STEELES,Security,20,40,2024-01-02,1,17
941,Tuesday,OLD WESTON AND ROGERS,Collision - TTC,12,24,2024-01-02,1,17
44,Tuesday,KIPLING AND EVANS,Operations - Operator,7,14,2024-01-02,1,17
86,Tuesday,KENNEDY STATION,Operations - Operator,6,12,2024-01-02,1,17
63,Tuesday,ST. CLAIR AND WINONA,Operations - Operator,10,20,2024-01-02,1,17
937,Tuesday,ISLINGTON AND BARKWIN,Cleaning - Unsanitary,9,18,2024-01-02,1,17
960,Tuesday,STEELES AND PETER KAIS,Diversion,15,32,2024-01-02,1,18
900,Tuesday,PEARSON AIRPORT TERMIN,Operations - Operator,12,24,2024-01-02,1,18
985,Tuesday,MIDLAND AND EGLINTON,Operations - Operator,13,26,2024-01-02,1,18
75,Tuesday,BLOOR AND SHERBOURNE,Utilized Off Route,9,18,2024-01-02,1,18
52,Tuesday,DIXON AND ISLINGTON,Operations - Operator,10,20,2024-01-02,1,18
84,Tuesday,BRADSTOCK AND WESTON,Operations - Operator,10,20,2024-01-02,1,18
32,Tuesday,RENFORTH STATION,Vision,24,48,2024-01-02,1,18
52,Tuesday,LAWRENCE AND JANE,Operations - Operator,10,20,2024-01-02,1,18
12,Tuesday,BRIMLEY AND SKAGWAY AV,Emergency Services,20,40,2024-01-02,1,18
95,Tuesday,ELLESMERE AND PARKINGT,Operations - Operator,10,20,2024-01-02,1,18
54,Tuesday,EGLINTON STATION,Utilized Off Route,15,30,2024-01-02,1,19
925,Tuesday,PAPE STATION,Utilized Off Route,10,20,2024-01-02,1,19
11,Tuesday,DAVISVILLE STATION,Utilized Off Route,28,56,2024-01-02,1,19
11,Tuesday,DAVISVILLE AND YONGE,Utilized Off Route,28,56,2024-01-02,1,19
63,Tuesday,1388 EGLINTON AVE W,Utilized Off Route,10,20,2024-01-02,1,19
985,Tuesday,PROGRESS AND SCHICK CT,Collision - TTC,12,24,2024-01-02,1,19
24,Tuesday,SHEPPARD AND 404,Mechanical,10,20,2024-01-02,1,19
54,Tuesday,EGLINTON STATION,Utilized Off Route,15,30,2024-01-02,1,19
129,Tuesday,KENNEDY STATION,Utilized Off Route,8,16,2024-01-02,1,19
89,Tuesday,WILSON AND CLAYSON,Mechanical,10,20,2024-01-02,1,19
89,Tuesday,WILSON AND CLAYSON,Mechanical,10,20,2024-01-02,1,19
34,Tuesday,EGLINTON STATION,Operations - Operator,20,40,2024-01-02,1,20
34,Tuesday,EGLINTON STATION,Operations - Operator,20,40,2024-01-02,1,20
133,Tuesday,FINCH AND MORNINGSIDE,Emergency Services,13,26,2024-01-02,1,20
70,Tuesday,COXWELL STATION,Cleaning - Unsanitary,8,16,2024-01-02,1,21
47,Tuesday,LANSDOWNE SATION,Emergency Services,20,40,2024-01-02,1,21
38,Tuesday,SCARBOROUGH TOWN CENTE,Mechanical,10,20,2024-01-02,1,21
84,Tuesday,WESTON AND BRADSTOCK,Operations - Operator,10,20,2024-01-02,1,21
95,Tuesday,ELLESMERE AND VICTORIA,Security,16,32,2024-01-02,1,21
96,Tuesday,WILSON AND CLAYSON,Mechanical,20,40,2024-01-02,1,21
45,Tuesday,KIPLING AND HINTON RD,Security,10,20,2024-01-02,1,22
63,Tuesday,EGLINTON WEST STATION,Operations - Operator,10,20,2024-01-02,1,22
41,Tuesday,KEELE STATION,Security,12,24,2024-01-02,1,22
116,Tuesday,GUILDWOOD AND LIVINGST,Security,12,24,2024-01-02,1,22
165,Tuesday,YORK MILLS STATION,Collision - TTC,10,20,2024-01-02,1,22
89,Tuesday,KEELE STATION,Security,9,1,2024-01-02,1,23
102,Tuesday,CENTENNIAL COLLEGE,Mechanical,20,40,2024-01-02,1,23
45,Tuesday,KIPLING STATION,Mechanical,20,40,2024-01-02,1,1
32,Wednesday,CASTLE FRANK STATION,Mechanical,8,16,2024-01-03,1,2
396,Wednesday,WILSON AND BELGRAVE,Operations - Operator,20,40,2024-01-03,1,2
501,Wednesday,QUEEN AND SHERBOURNE,General Delay,7,15,2024-01-03,1,5
32,Wednesday,MT DENNIS GARAGE,Mechanical,12,24,2024-01-03,1,5
34,Wednesday,EGLINTON STATION,Operations - Operator,8,17,2024-01-03,1,5
40,Wednesday,WILSON STATION,Cleaning - Unsanitary,20,40,2024-01-03,1,5
54,Wednesday,EGLINTON STATION,Operations - Operator,5,10,2024-01-03,1,5
320,Wednesday,QUEENS QUAY AND YONGE,Security,8,16,2024-01-03,1,6
54,Wednesday,EGLINTON STATION,Operations - Operator,5,10,2024-01-03,1,6
935,Wednesday,JANE AND HULLMAR,Mechanical,7,15,2024-01-03,1,6
952,Wednesday,ARROW ROAD GARAGE,Mechanical,10,20,2024-01-03,1,6
968,Wednesday,WARDEN AND STEELES,Mechanical,11,22,2024-01-03,1,6
41,Wednesday,TRETHEWEY AND EGLINTON,Mechanical,8,16,2024-01-03,1,6
63,Wednesday,EGLINTON WEST STATION,Mechanical,5,10,2024-01-03,1,6
939,Wednesday,FINCH AND BIRCHMOUNT,Mechanical,8,16,2024-01-03,1,7
32,Wednesday,JANE AND TRETHEWEY,Collision - TTC,10,20,2024-01-03,1,7
76,Wednesday,ROYAL YORK STATION,Emergency Services,3,13,2024-01-03,1,7
34,Wednesday,EGLINTON AND LEBOVICH,Mechanical,7,15,2024-01-03,1,7
53,Wednesday,TAPSCOTT AND MORNINGSI,Mechanical,7,13,2024-01-03,1,7
126,Wednesday,CHRISTIE STATION,Mechanical,15,30,2024-01-03,1,7
56,Wednesday,DONLANDS AND O'CONNOR,Cleaning - Unsanitary,15,30,2024-01-03,1,7
96,Wednesday,WILSON AND YONGE,Operations - Operator,9,18,2024-01-03,1,7
7,Wednesday,BATHURST AND WILSON,Operations - Operator,10,20,2024-01-03,1,8
929,Wednesday,EXHIBITION LOOP,Operations - Operator,8,16,2024-01-03,1,8
960,Wednesday,PIONEER VILLAGE STATIO,Mechanical,7,13,2024-01-03,1,8
116,Wednesday,MORNINGSIDE AND STAINE,Operations - Operator,8,16,2024-01-03,1,8
36,Wednesday,FINCH AND JAYZAL DR,Collision - TTC,9,18,2024-01-03,1,8
84,Wednesday,SHEPPARD YONGE STATION,Operations - Operator,10,20,2024-01-03,1,9
41,Wednesday,PIONEER VILLAGE STATIO,Mechanical,10,20,2024-01-03,1,9
85,Wednesday,SHEPPARD AND VICTORIA,Operations - Operator,9,18,2024-01-03,1,9
25,Wednesday,DON MILLS STATION,Mechanical,9,18,2024-01-03,1,9
35,Wednesday,JANE AND YEWTREE BLVD,Collision - TTC,8,16,2024-01-03,1,9
133,Wednesday,SCARBOROUGH CENTRE STA,Operations - Operator,13,26,2024-01-03,1,9
40,Wednesday,DUNDAS AND JANE,Mechanical,7,14,2024-01-03,1,9
96,Wednesday,WILSON AND BATHURST,Mechanical,10,20,2024-01-03,1,9
960,Wednesday,FINCH STATION,Vision,11,20,2024-01-03,1,10
84,Wednesday,SHEPPARD AND JANE,Operations - Operator,10,20,2024-01-03,1,10
84,Wednesday,SHEPPARD AND WILMINGTO,Collision - TTC,8,16,2024-01-03,1,10
39,Wednesday,FINCH STATION,Mechanical,20,40,2024-01-03,1,10
935,Wednesday,PIONEER VILLAGE STATIO,Mechanical,16,32,2024-01-03,1,11
37,Wednesday,ISLINGTON AND RATHBURN,Mechanical,25,50,2024-01-03,1,11
37,Wednesday,STEELES LOOP,Mechanical,25,50,2024-01-03,1,11
89,Wednesday,WESTON AND RAY,Mechanical,10,20,2024-01-03,1,11
131,Wednesday,KENNEDY AND RANSTONE G,Collision - TTC,15,30,2024-01-03,1,11
161,Wednesday,ROCKCLIFF AND ALLIANCE,Operations - Operator,20,40,2024-01-03,1,11
37,Wednesday,ISLINGTON STATION,Mechanical,25,50,2024-01-03,1,12
43,Wednesday,KENNEDY AND LAWRENCE,Mechanical,20,40,2024-01-03,1,12
46,Wednesday,KIPLING STATION,Mechanical,24,48,2024-01-03,1,12
29,Wednesday,DUFFERIN AND LAWRENCE,Mechanical,8,16,2024-01-03,1,12
95,Wednesday,ELLESMERE AND MARKHAM,Operations - Operator,10,20,2024-01-03,1,12
41,Wednesday,KEELE AND INGRAM,Emergency Services,10,20,2024-01-03,1,13
29,Wednesday,WILSON STATION,Cleaning - Unsanitary,8,16,2024-01-03,1,13
939,Wednesday,FINCH AND LESLIE,Mechanical,14,28,2024-01-03,1,13
63,Wednesday,EGLINTON WEST STATION,Utilized Off Route,10,20,2024-01-03,1,13
44,Wednesday,KIPLING AND NORTH QUEE,Operations - Operator,7,14,2024-01-03,1,13
20,Wednesday,DANFORTH AND DANFORTH,Mechanical,20,40,2024-01-03,1,13
996,Wednesday,JANE AND WILSON,Operations - Operator,10,20,2024-01-03,1,13
131,Wednesday,MORNINGVIEW AND OLD FI,Mechanical,17,30,2024-01-03,1,13
40,Wednesday,DUNDAS WEST STATION,Mechanical,15,30,2024-01-03,1,13
903,Wednesday,ELLESMERE AND KENNEDY,Mechanical,8,16,2024-01-03,1,13
52,Wednesday,LAWRENCE WEST STATION,Mechanical,17,34,2024-01-03,1,13
32,Wednesday,EGLINTON AND GUESTVILL,Security,12,24,2024-01-03,1,14
11,Wednesday,SUNNYBROOK HOSPITAL,Emergency Services,13,26,2024-01-03,1,14
44,Wednesday,EVANS AND KIPLING,Mechanical,9,18,2024-01-03,1,14
902,Wednesday,WARDEN STATION,Mechanical,15,30,2024-01-03,1,14
116,Wednesday,MORNINGSIDE AND ELLESM,Mechanical,8,16,2024-01-03,1,14
119,Wednesday,WILSON STATION,Operations - Operator,23,46,2024-01-03,1,14
74,Wednesday,ST CLAIR STATION,Mechanical,20,40,2024-01-03,1,14
52,Wednesday,LAWRENCE WEST STATION,Emergency Services,20,40,2024-01-03,1,14
35,Wednesday,SHEPPARD AND JANE,Mechanical,8,16,2024-01-03,1,15
71,Wednesday,MOUNT DENNIS GARAGE,Cleaning - Unsanitary,10,20,2024-01-03,1,15
29,Wednesday,BLOOR AND DUFFERIN,Mechanical,8,16,2024-01-03,1,15
939,Wednesday,FINCH STATION,Mechanical,12,24,2024-01-03,1,15
98,Wednesday,GOULDING AND CACTUS,Mechanical,28,56,2024-01-03,1,15
95,Wednesday,YORK MILLS STATION,Operations - Operator,10,20,2024-01-03,1,15
52,Wednesday,LAWRENCE AND JANE,Operations - Operator,17,34,2024-01-03,1,15
47,Wednesday,CALEDONIA AND EGLINTON,Operations - Operator,24,48,2024-01-03,1,15
125,Wednesday,FINCH STATION,Mechanical,10,20,2024-01-03,1,15
11,Wednesday,DAVISVILLE STATION,Mechanical,18,36,2024-01-03,1,15
35,Wednesday,JANE AND WESTON,Operations - Operator,10,20,2024-01-03,1,15
85,Wednesday,KENNEDY AND SHEPPARD,Vision,8,16,2024-01-03,1,15
960,Wednesday,STEELES AND NORTHWEST,Operations - Operator,9,18,2024-01-03,1,15
41,Wednesday,KEELE STATION,Mechanical,10,20,2024-01-03,1,15
52,Wednesday,LAWRENCE WEST STATION,Operations - Operator,10,20,2024-01-03,1,15
73,Wednesday,PORTLAND AND ROYAL YOR,Mechanical,25,50,2024-01-03,1,16
89,Wednesday,KEELE STATION,Operations - Operator,9,18,2024-01-03,1,16
986,Wednesday,EGLINTON AND MARKHAM,Mechanical,12,24,2024-01-03,1,16
939,Wednesday,KENNEDY STATION,Vision,12,24,2024-01-03,1,16
96,Wednesday,WESTON AND WALSH,Operations - Operator,20,40,2024-01-03,1,16
122,Wednesday,DUNCAN MILL AND VALLEY,Collision - TTC,14,28,2024-01-03,1,16
54,Wednesday,ORTON PARK AND BRIMORT,Operations - Operator,11,22,2024-01-03,1,16
168,Wednesday,DUNDAS WEST STATION,Security,12,24,2024-01-03,1,16
954,Wednesday,LAWRENCE AND SCARBOURG,Emergency Services,10,20,2024-01-03,1,16
903,Wednesday,CENTENNIAL COLLEGE,Operations - Operator,10,20,2024-01-03,1,16
23,Wednesday,FERRIS AND DAWES,Mechanical,10,20,2024-01-03,1,16
85,Wednesday,MEADOWVALE AND SHEPPAR,Operations - Operator,10,20,2024-01-03,1,17
52,Wednesday,LAWRENCE AND SCARLETT,Mechanical,10,20,2024-01-03,1,17
985,Wednesday,ELLESMERE AND KENNEDY,Operations - Operator,8,16,2024-01-03,1,17
944,Wednesday,EVANS AND KIPLING,Utilized Off Route,11,22,2024-01-03,1,17
944,Wednesday,COLONEL SAMUEL PARK AN,Utilized Off Route,11,22,2024-01-03,1,17
944,Wednesday,EVANS AND KIPLING,Utilized Off Route,11,22,2024-01-03,1,17
35,Wednesday,JANE STATION,Mechanical,10,20,2024-01-03,1,17
97,Wednesday,HILDA AND STEELES,Mechanical,24,48,2024-01-03,1,17
32,Wednesday,EGLINTON STATION,Operations - Operator,10,20,2024-01-03,1,17
165,Wednesday,SHEPPARD AND WESTON,Operations - Operator,8,15,2024-01-03,1,17
76,Wednesday,ROYAL YORK STATION,Utilized Off Route,9,18,2024-01-03,1,17
88,Wednesday,THORNCLIFFE PARK DR AN,Operations - Operator,24,48,2024-01-03,1,17
63,Wednesday,OSSINGTON STATION,Mechanical,10,20,2024-01-03,1,17
168,Wednesday,ST. CLAIR AND WESTON,Utilized Off Route,12,24,2024-01-03,1,17
84,Wednesday,SHEPPARD AND KEELE,Operations - Operator,10,20,2024-01-03,1,18
984,Wednesday,SHEPPARD WEST STATION,Operations - Operator,10,20,2024-01-03,1,18
60,Wednesday,PRIONEER VILLAGE STATI,Mechanical,9,18,2024-01-03,1,18
900,Wednesday,KIPLING STATION,Mechanical,8,16,2024-01-03,1,18
903,Wednesday,KENNEDY STATION,Operations - Operator,10,20,2024-01-03,1,18
84,Wednesday,SHEPPARD WEST STATION,Operations - Operator,10,20,2024-01-03,1,18
71,Wednesday,EGLINTON AND WESTON,Cleaning - Unsanitary,10,20,2024-01-03,1,18
52,Wednesday,LAWRENCE AND DUCKWORTH,Operations - Operator,20,40,2024-01-03,1,18
12,Wednesday,VICTORI PARK STATION,Operations - Operator,11,22,2024-01-03,1,18
11,Wednesday,BAYVIEW AND FIFESHIRE,Collision - TTC,18,36,2024-01-03,1,18
