Route,Day,Location,Incident,Min Gap,Date_,Month,Hour
960,Friday,YONGE AND BISHOP,Mechanical,48,2024-04-26,4,23
54,Friday,LAWRENCE AND VICTORIA,Mechanical,30,2024-08-02,8,21
96,Saturday,WILSON AND KEELE,Mechanical,34,2024-02-10,2,14
29,Sunday,DUFFERIN GATE LOOP,Utilized Off Route,10,2024-09-08,9,15
92,Sunday,WOODBINE STATION,Security,10,2024-07-21,7,18
123,Sunday,LONGBRANCH LOOP,Mechanical,40,2024-01-07,1,11
41,Friday,KEELE STATION,Mechanical,20,2024-01-26,1,13
100,Tuesday,DON MILLS AND WYNFORD,Emergency Services,20,2024-08-13,8,21
29,Tuesday,WILSON STATION - UPPER,Emergency Services,16,2024-03-26,3,21
43,Saturday,PASSMORE AND SILVER ST,Mechanical,20,2024-04-13,4,9
84,Friday,SHEPPARD AND YONGE,Mechanical,18,2024-05-24,5,18
57,Monday,KENNEDY STATION,Cleaning - Unsanitary,24,2024-05-13,5,17
96,Sunday,WILSON STATION,General Delay,40,2024-01-21,1,20
32,Sunday,EGLINTON AND KEELE,Vision,28,2024-06-16,6,21
41,Sunday,KEELE AND GULLIVER,Cleaning - Unsanitary,20,2024-06-30,6,18
41,Monday,KEELE AND HUMBERSIDE,Operations - Operator,20,2024-03-04,3,20
85,Saturday,SHEPPARD AND PARKWAY F,Mechanical,24,2024-06-29,6,7
113,Monday,KENNEDY AND TRANSWAY,Mechanical,30,2024-01-22,1,17
69,Friday,WARDEN AND FREEMAN,Mechanical,24,2024-03-08,3,13
94,Friday,CASTLE FRANK STATION,Mechanical,20,2024-01-12,1,22
116,Sunday,MORNINGSIDE AND CUMBER,Security,14,2024-06-30,6,12
52,Monday,LAWRENCE AND WESTON,Mechanical,36,2024-07-29,7,14
986,Wednesday,KENNEDY STATION,Operations - Operator,24,2024-09-25,9,18
36,Thursday,FINCH AND WESTON RD,Collision - TTC,18,2024-01-18,1,22
24,Thursday,VICTORIA PARK AND DAWE,Mechanical,10,2024-08-22,8,6
125,Thursday,FINCH STATION,Operations - Operator,16,2024-05-02,5,9
54,Sunday,LAWRENCE AND VICTORIA,Mechanical,40,2024-08-18,8,19
87,Wednesday,COSBURN AND PAPE,Collision - TTC,19,2024-05-22,5,17
87,Friday,COSBURN AND LOGAN,Investigation,20,2024-06-14,6,21
939,Tuesday,FINCH AND TAPSCOTT,Collision - TTC,16,2024-02-06,2,8
98,Saturday,SHEPPARD AND BEECROFT,General Delay,53,2024-01-27,1,11
35,Saturday,ARMADALE AND BLOOR,Mechanical,20,2024-06-08,6,23
102,Wednesday,CENTENNIAL COLLEGE,Mechanical,40,2024-09-04,9,17
32,Wednesday,EGLINTON AND LITTLE,Utilized Off Route,24,2024-06-19,6,19
60,Sunday,STEELES AND FOUNDERS,Operations - Operator,20,2024-08-04,8,19
113,Saturday,KENNEDY STATION,Security,40,2024-06-22,6,20
36,Sunday,FINCH WEST STATION,Security,12,2024-09-01,9,12
960,Saturday,PIONEER VILLAGE STATIO,Mechanical,18,2024-03-30,3,19
38,Friday,PORT UNION AND LAWRENC,Operations - Operator,40,2024-07-05,7,23
39,Sunday,FINCH AND MCCOWAN,Security,34,2024-08-11,8,22
63,Monday,KING AND DUFFERIN,Cleaning - Unsanitary,20,2024-05-20,5,21
985,Tuesday,MIDLAND AND EGLINTON,Operations - Operator,26,2024-01-02,1,18
116,Friday,BRIMLEY AND EGLINTON,Mechanical,20,2024-03-15,3,11
38,Saturday,LAWSON AND MEADOWVALE,Mechanical,20,2024-06-29,6,14
61,Tuesday,AVENUE AND WILSON,Collision - TTC,28,2024-08-06,8,16
100,Thursday,BROADVIEW STATION,Utilized Off Route,16,2024-01-25,1,12
35,Saturday,OLD MILL STAWTON,Mechanical,14,2024-09-21,9,13
21,Monday,EGLINTON AND MIDLAND,Operations - Operator,40,2024-01-29,1,18
129,Wednesday,KENNEDY AND EGLINTON,Collision - TTC,15,2024-05-01,5,22
7,Thursday,BATHURST STATION,Mechanical,20,2024-05-09,5,8
929,Thursday,DUFFERIN AND GLENCAIRN,General Delay,16,2024-08-29,8,20
16,Thursday,DANFORTH AND MIDLAND,Collision - TTC,40,2024-06-20,6,1
85,Monday,SHEPPARD AND MALVERN G,Operations - Operator,32,2024-08-12,8,17
60,Saturday,PIONEER VILLAGE STATIO,Operations - Operator,20,2024-08-24,8,13
37,Tuesday,ISLINGTON AND DIXON,Diversion,31,2024-01-16,1,8
905,Thursday,KINGSTON AND GALLOWAY,General Delay,20,2024-02-08,2,19
86,Tuesday,KENNEDY AND RANSTONE,Mechanical,34,2024-02-27,2,4
902,Wednesday,MARKHAM AND SHEPPARD,Mechanical,25,2024-09-25,9,10
46,Thursday,KIPLING STATION,Mechanical,48,2024-02-08,2,11
108,Tuesday,SHEPPARD AND VITTI,Collision - TTC,43,2024-01-09,1,18
165,Wednesday,WILSON AND KEELE,Security,12,2024-05-08,5,7
116,Saturday,SHEPPARD AND MORNINGSI,Operations - Operator,20,2024-06-15,6,19
939,Wednesday,FINCH AND LESLIE,Mechanical,26,2024-06-19,6,9
36,Sunday,FINCH AND BATHURST,Mechanical,12,2024-09-22,9,16
53,Friday,STEELES AND LESLIE,Collision - TTC,18,2024-05-24,5,18
102,Thursday,MARKHAM AND NUGGET,Mechanical,30,2024-02-15,2,10
960,Monday,STEELES AND PINE,General Delay,13,2024-01-29,1,9
939,Thursday,FINCH STATION,Mechanical,32,2024-06-06,6,18
985,Wednesday,DON MILLS STATION,Mechanical,30,2024-02-21,2,19
102,Tuesday,AMAZON FULFILLMENT CEN,Operations - Operator,22,2024-07-23,7,19
32,Friday,CALADONIA AND ROGERS,Investigation,24,2024-06-21,6,9
32,Friday,EGLINTON WEST STATION,Investigation,25,2024-09-20,9,11
35,Tuesday,JANE AND TRETHEWEY,Operations - Operator,15,2024-08-06,8,13
96,Thursday,WILSON STATION,Operations - Operator,40,2024-04-11,4,20
86,Sunday,TORONTO ZOO,Mechanical,20,2024-02-18,2,8
36,Wednesday,FINCH AND WESTMORE,Mechanical,14,2024-05-01,5,19
52,Tuesday,SUNNYBROOK HOSPITAL,Collision - TTC,18,2024-08-06,8,17
79,Friday,WRIGHT AND GIBSON,Mechanical,40,2024-08-30,8,18
300,Sunday,BLOOR AND ST GEORGE,Security,30,2024-01-07,1,3
41,Thursday,KEELE AND EGLINTON,Security,20,2024-05-16,5,11
78,Saturday,YORK MILLS STATION,Security,50,2024-03-16,3,9
57,Saturday,REDLEA LOOP,Operations - Operator,36,2024-04-06,4,16
95,Friday,YORK MILLS COLLEGIATE,Operations - Operator,17,2024-06-21,6,15
34,Saturday,EGLINTON STATION,Operations - Operator,36,2024-06-22,6,14
336,Saturday,FINCH AND YONGE,Mechanical,40,2024-07-20,7,3
52,Wednesday,EGLINTON STATION,Emergency Services,16,2024-05-01,5,22
94,Friday,CASTLE FRANCK STATION,Vision,40,2024-08-16,8,11
56,Friday,EGLINTON AND LAIRD,Operations - Operator,32,2024-08-02,8,14
45,Wednesday,KIPLING AND FINCH,General Delay,0,2024-09-04,9,9
129,Wednesday,MIDLAND AND EGLINTON,Operations - Operator,20,2024-04-10,4,18
52,Saturday,LAWRENCE AND JANE,Operations - Operator,43,2024-03-30,3,8
32,Friday,EGLINTON AND NORTHCLIF,Security,30,2024-09-20,9,22
40,Monday,BLOOR AND THE WEST MAL,Mechanical,38,2024-01-29,1,17
960,Friday,FINCH STATION,Investigation,22,2024-07-26,7,12
29,Saturday,DUFFERIN AND RANEE,Collision - TTC,11,2024-02-24,2,18
24,Thursday,VICTORIA PARK AND IVOR,Mechanical,20,2024-09-05,9,19
69,Wednesday,WARDEN AND KINGSTON,Mechanical,23,2024-02-21,2,10
32,Thursday,EGLINTON STATION,Mechanical,24,2024-08-22,8,19
29,Sunday,MOUNT DENNIS GARAGE,Collision - TTC,20,2024-01-14,1,4
133,Tuesday,TRITON AND BRIMELY,Collision - TTC,20,2024-05-28,5,18
88,Thursday,MCRAE AND LAIRD,Collision - TTC,48,2024-09-19,9,16
34,Sunday,SPANBRIDGE AND GRENOBL,Cleaning - Unsanitary,40,2024-06-16,6,8
32,Wednesday,EGLINTON AND JANE,Operations - Operator,20,2024-09-04,9,6
130,Friday,SCARBOROUGH CENTRE STA,Cleaning - Unsanitary,50,2024-01-12,1,14
63,Wednesday,OSSINGTON AND DUNDAS,Operations - Operator,20,2024-01-31,1,12
7,Sunday,GREENWIN VILLAGE AND B,Mechanical,20,2024-01-14,1,9
37,Monday,ISLINGTON AND RATHBURN,Utilized Off Route,20,2024-09-30,9,14
63,Friday,EGLINTON WEST STATION,Emergency Services,16,2024-08-02,8,12
69,Friday,DANFORTH AND BIRCHMOUN,Mechanical,27,2024-09-06,9,7
38,Tuesday,BRIMLEY AND ELLESMERE,Collision - TTC,16,2024-03-26,3,11
96,Tuesday,WILSON AND BATHURST,Mechanical,40,2024-06-18,6,18
7,Saturday,BATHURST STATION,Security,20,2024-05-04,5,14
133,Tuesday,SCARBOROUGH CENTRE STA,Collision - TTC,24,2024-07-30,7,15
154,Friday,KENNEDY STATION,Security,44,2024-09-20,9,20
17,Wednesday,BIRCHMOUNT AND STEELES,Mechanical,36,2024-01-31,1,14
89,Monday,KEELE STATION,Mechanical,20,2024-04-29,4,4
41,Wednesday,EGLINTON WEST AND KEEL,Mechanical,24,2024-07-17,7,8
98,Tuesday,PECKHAM AND CACTUS,Operations - Operator,50,2024-08-20,8,10
161,Friday,JANE AND OUTLOOK,Mechanical,40,2024-08-23,8,15
84,Wednesday,BRADSTOCK AND RIVALDA,Mechanical,20,2024-05-01,5,6
22,Saturday,COXWELL STATION,Investigation,16,2024-01-27,1,10
36,Friday,HUMBERWOOD AND HULLRIC,Mechanical,11,2024-05-31,5,8
44,Thursday,KIPLING AND TORLAKE,Collision - TTC,16,2024-07-25,7,6
52,Thursday,LAWRENCE AND DUFFERIN,Emergency Services,36,2024-08-01,8,20
84,Thursday,SHEPPARD WEST STATION,Mechanical,18,2024-05-09,5,20
32,Friday,MOUNT DENNIS GARAGE,Operations - Operator,11,2024-06-14,6,5
116,Saturday,KENNEDY STATION,Utilized Off Route,16,2024-01-20,1,13
320,Monday,YONGE AND RICHMOND,Collision - TTC,12,2024-04-29,4,2
129,Tuesday,LAWRENCE AND KENNEDY,Operations - Operator,18,2024-01-16,1,13
85,Monday,SHEPPARD AND BAYVIEW,Operations - Operator,32,2024-08-12,8,7
903,Sunday,CENTENNIAL COLLEGE BUS,Mechanical,24,2024-09-08,9,11
37,Wednesday,ISLINGTON AND GREAT O,Emergency Services,36,2024-04-17,4,7
11,Monday,BAYVIEW AND STEELES,Security,48,2024-01-01,1,1
968,Friday,WARDEN AND STEELES,Mechanical,36,2024-07-12,7,16
960,Saturday,PIONEER VILLAGE STATIO,Security,48,2024-07-13,7,23
52,Friday,LAWRENCE AND BLACKCREE,Mechanical,40,2024-09-06,9,0
905,Monday,KENNEDY STATION,Utilized Off Route,24,2024-05-13,5,7
102,Thursday,MILNER AND MARKHAM,Mechanical,30,2024-02-22,2,10
53,Tuesday,STEELES AND DON MILLS,Operations - Operator,48,2024-03-12,3,23
25,Friday,DON MILLS STATION,Mechanical,18,2024-03-15,3,10
54,Wednesday,LAWRENCE AND BIRCHMOUN,Security,22,2024-08-14,8,16
25,Tuesday,O'CONNOR AND PAPE,Operations - Operator,14,2024-07-09,7,7
54,Tuesday,LAWRENCE AVE EAST AT K,Mechanical,28,2024-04-30,4,9
35,Friday,JANE AND HULLMARK,Operations - Operator,24,2024-06-07,6,7
59,Thursday,GULLIVER AND KEELE,General Delay,43,2024-02-15,2,15
16,Saturday,WARDEN STATION,Utilized Off Route,20,2024-05-04,5,17
41,Thursday,KEELE AND DOVEHOUSE,Diversion,19,2024-04-04,4,21
36,Wednesday,FINCH WEST STATION,Mechanical,12,2024-04-03,4,16
24,Tuesday,VICTORIA PARK STATION,Mechanical,20,2024-03-19,3,11
32,Sunday,JANE AND SPEERS,Security,48,2024-03-31,3,16
68,Friday,ANGUS GLEN AND MAJOR M,Mechanical,40,2024-08-23,8,14
54,Saturday,LAWRENCE AND WARDEN,Diversion,31,2024-04-06,4,0
40,Friday,DUNDAS WEST STATION,Mechanical,48,2024-08-02,8,10
32,Saturday,RENFORTH STATION,Mechanical,20,2024-01-13,1,17
984,Tuesday,SHEPPARD AND DUFFERIN,Emergency Services,18,2024-07-23,7,17
79,Friday,LAWRENCE AND JANE,General Delay,48,2024-03-22,3,14
925,Thursday,EGLINTON GARAGE,Utilized Off Route,18,2024-04-25,4,5
47,Tuesday,LANSDOWNE AND RIDEAU,Mechanical,36,2024-01-09,1,13
29,Sunday,WILSON STATION,Emergency Services,20,2024-03-24,3,8
35,Monday,JANE AND LAWRENCE,Operations - Operator,16,2024-05-13,5,16
76,Wednesday,ROYAL YORK STATION,Emergency Services,13,2024-01-03,1,7
30,Wednesday,EGLINTON AND MARLEE,Collision - TTC,20,2024-02-07,2,16
63,Friday,WILSON GARAGE,Operations - Operator,12,2024-05-10,5,11
939,Saturday,KENNEDY STATION,Utilized Off Route,16,2024-05-04,5,17
37,Wednesday,BLOOR AND MARKLAND,Mechanical,29,2024-05-22,5,5
96,Friday,WILSON AND FAYWOOD,Mechanical,12,2024-03-08,3,6
43,Wednesday,KENNEDY AND SHEPPARD,Mechanical,20,2024-03-13,3,6
60,Friday,MALVERN GARAGE,Operations - Operator,1,2024-06-14,6,5
47,Thursday,LANSDOWNE AND DUPONT,Operations - Operator,36,2024-06-06,6,13
21,Saturday,KENNEDY STATION,Mechanical,44,2024-06-01,6,10
60,Sunday,PIONEER VILLAGE STATIO,Mechanical,21,2024-02-18,2,11
89,Thursday,WESTON AND WALSH,Mechanical,20,2024-09-19,9,14
121,Saturday,MILL AND TRINITY,Security,40,2024-09-21,9,20
79,Friday,PINE AND LAWRENCE,Mechanical,30,2024-01-19,1,21
39,Thursday,NEILSON AND CROW,Emergency Services,34,2024-07-11,7,6
54,Wednesday,ROUGE HILL GO STATION,Mechanical,18,2024-03-20,3,8
903,Thursday,KENNEDY STATION,Utilized Off Route,16,2024-04-11,4,11
25,Monday,PAPE STATION,Operations - Operator,16,2024-03-04,3,19
952,Friday,DIXON AND ISLINGTON,Vision,20,2024-09-06,9,8
36,Wednesday,FINCH AND WESTON,Vision,12,2024-02-07,2,13
85,Wednesday,SHEPPARD AND VICTORIA,Operations - Operator,18,2024-01-03,1,9
67,Wednesday,VICTORIA PARK STATION,Mechanical,20,2024-09-25,9,16
900,Thursday,SILVER DART AND JETLIN,Investigation,20,2024-05-30,5,20
76,Monday,ROYAL YORK STATION,Vision,30,2024-09-23,9,19
320,Tuesday,EGLINTON STATION,Mechanical,10,2024-01-23,1,4
41,Thursday,SHEPPARD AND KEELE,Investigation,14,2024-04-11,4,14
88,Tuesday,ST CLAIR STATION,Mechanical,30,2024-06-18,6,7
40,Thursday,DUNDAS WEST AND ROYAL,Cleaning - Unsanitary,30,2024-05-09,5,14
129,Wednesday,ELLESMERE AND BRIMLEY,Collision - TTC,16,2024-04-10,4,10
24,Friday,DON MILLS STATION,Security,40,2024-06-28,6,17
7,Wednesday,BATHURST AND GLENGROVE,Mechanical,20,2024-07-24,7,7
75,Thursday,SOUTH AND GLEN,Emergency Services,15,2024-04-18,4,12
100,Saturday,BROADVIEW STATION,Operations - Operator,18,2024-07-27,7,18
24,Friday,VICTORIA PARK STATION,Operations - Operator,20,2024-03-29,3,21
32,Friday,TRETHEWEY AND BROOKHAV,Mechanical,10,2024-01-26,1,5
132,Friday,SCARBOROUGH CENTRE STA,Mechanical,30,2024-06-21,6,20
905,Tuesday,KENNEDY STATION,Operations - Operator,30,2024-06-25,6,7
34,Monday,KENNEDY STATION,Mechanical,17,2024-02-05,2,17
35,Wednesday,PIONEER VILLAGE STATIO,Mechanical,20,2024-05-01,5,0
939,Tuesday,FINCH STATION,Utilized Off Route,16,2024-06-25,6,6
35,Friday,JANE AND WEATHERELL,Mechanical,20,2024-06-21,6,5
81,Saturday,PAPE STATION,Mechanical,16,2024-02-03,2,11
89,Monday,KEELE STATION,Emergency Services,19,2024-03-11,3,0
935,Tuesday,JANE AND BLOOR,Utilized Off Route,25,2024-07-16,7,15
47,Wednesday,YORKDALE MALL,Security,40,2024-03-06,3,22
36,Monday,MILVAN AND PENN,Mechanical,20,2024-02-12,2,7
64,Tuesday,MAIN STREET STATION,Mechanical,20,2024-01-23,1,16
95,Tuesday,ELLESMERE AND DOLLY VA,Operations - Operator,20,2024-08-20,8,17
94,Monday,WELLESLEY AND JARVIS,Mechanical,38,2024-09-16,9,8
102,Saturday,MARKHAM AND SHEPPARD,Operations - Operator,20,2024-06-15,6,13
52,Saturday,LAWRENCE AND BATHURST,Operations - Operator,40,2024-02-24,2,15
88,Monday,OVERLEA AND THORNCLIFF,Diversion,35,2024-04-22,4,7
41,Saturday,KEELE AND ST REGIS,General Delay,24,2024-08-03,8,21
45,Sunday,KIPLING STATION,Mechanical,20,2024-01-14,1,13
71,Monday,MOUNT DENNIS GARAGE,Operations - Operator,20,2024-08-19,8,7
129,Saturday,MIDLAND AND EGLINTON,Mechanical,16,2024-02-24,2,15
35,Friday,DUNDAS AND JANE,Mechanical,24,2024-02-02,2,16
32,Friday,RENFORTH STATION,Security,16,2024-07-19,7,7
960,Sunday,PIONEER VILLAGE STATIO,Operations - Operator,24,2024-06-16,6,19
53,Friday,STEELES AND MIDLAND,Operations - Operator,24,2024-03-01,3,16
63,Thursday,OSSINGTON AND ARGYLE,Collision - TTC,16,2024-06-06,6,12
118,Tuesday,WILSON AND EPIC,General Delay,40,2024-04-30,4,22
168,Friday,AVON LOOP,Vision,18,2024-04-05,4,18
111,Sunday,KIPLING STATION,Operations - Operator,30,2024-08-11,8,17
32,Wednesday,EGLINTON AND LITTLE,Mechanical,16,2024-05-15,5,6
23,Wednesday,606 DAWES RD,Mechanical,17,2024-01-17,1,6
68,Thursday,WARDEN STATION,Collision - TTC,40,2024-02-22,2,23
29,Sunday,DUFFERIN GATE LOOP,Vision,10,2024-07-28,7,13
68,Sunday,STEELES AND WARDEN,Utilized Off Route,24,2024-05-12,5,9
46,Saturday,KIPLING STATION,Operations - Operator,48,2024-09-21,9,16
902,Wednesday,MARKHAM AND STEELES,Emergency Services,24,2024-09-18,9,13
96,Tuesday,WALSH AND WESTON,Mechanical,40,2024-01-23,1,20
63,Thursday,LIBERTY AND ATLANTIC,Utilized Off Route,16,2024-04-11,4,11
63,Sunday,OAKWOOD AND JESMOND,Vision,18,2024-05-26,5,0
924,Thursday,VICTORIA PARK AND PARK,Mechanical,20,2024-01-25,1,8
36,Tuesday,TANGIERS AND FINCH,General Delay,20,2024-04-30,4,23
113,Tuesday,KENNEDY AND EGLINTON,Mechanical,46,2024-04-30,4,20
134,Monday,SHEPPARD AND PROGRESS,Collision - TTC,30,2024-06-10,6,8
123,Tuesday,KIPLING STATION,Mechanical,30,2024-07-09,7,17
43,Friday,KENNEDY AND BONIS,Emergency Services,20,2024-08-23,8,17
131,Monday,SCARBOROUGH CENTRE STA,Mechanical,30,2024-01-01,1,10
29,Saturday,DUFFERIN AND BENTWORTH,Operations - Operator,10,2024-08-31,8,18
39,Tuesday,FINCH AND MCCOWAN,Security,34,2024-05-21,5,11
80,Tuesday,THE QUEENSWAY AND ELLI,Security,44,2024-09-24,9,19
995,Monday,RYLANDER AND KINGSTON,Mechanical,20,2024-02-05,2,22
47,Thursday,YORKDALE STATION,Operations - Operator,19,2024-06-27,6,5
60,Thursday,FINCH STATION,Mechanical,24,2024-08-22,8,22
39,Thursday,VICTORIA PARK AND NAVA,Mechanical,36,2024-08-22,8,16
161,Wednesday,JANE AND ALLIANCE,Operations - Operator,36,2024-02-14,2,15
98,Monday,SHEPPARD EAST AND DORI,Utilized Off Route,50,2024-05-13,5,10
54,Sunday,EGLINTON STATION,Security,32,2024-09-08,9,15
66,Thursday,OLD MILL STATION,Mechanical,40,2024-05-09,5,6
939,Friday,MORNINGSIDE AND NEILSO,Security,16,2024-05-03,5,14
17,Monday,BIRCHMOUNT AND STEELES,Mechanical,19,2024-07-29,7,5
38,Friday,MIDLAND AND LAWRENCE,Investigation,20,2024-02-23,2,16
47,Monday,YORKDALE STATION,Vision,36,2024-06-17,6,13
24,Thursday,VICTORIA PARK STATION,Mechanical,20,2024-07-18,7,6
54,Tuesday,EGLINTON STATION,Utilized Off Route,20,2024-01-30,1,8
16,Saturday,EGLINTON AND DANFORTH,Mechanical,24,2024-08-31,8,19
939,Thursday,MCNICOLL GARAGE,Vision,14,2024-08-01,8,6
85,Tuesday,SHEPPARD EAST AND NEIL,Mechanical,50,2024-07-16,7,11
52,Thursday,FINCH AND KIPLING,Collision - TTC,54,2024-06-27,6,17
165,Wednesday,WILSON AND CLAYSON,Mechanical,20,2024-07-03,7,10
126,Thursday,CHRISTIE STATION,Vision,30,2024-01-25,1,18
960,Sunday,STEELES AND BATHURST,Cleaning - Unsanitary,20,2024-03-03,3,18
63,Wednesday,EGLINTON WEST STATION,Mechanical,20,2024-07-24,7,0
900,Friday,KIPLING STATION,Mechanical,20,2024-07-05,7,18
53,Wednesday,FINCH STATION,Security,20,2024-05-01,5,1
122,Monday,28 CARLINGWOOD,Cleaning - Unsanitary,12,2024-08-12,8,7
24,Wednesday,VICTORIA PARK STATION,Mechanical,48,2024-01-17,1,12
7,Wednesday,SHEPPARD AND BATHURST,Mechanical,20,2024-09-04,9,12
95,Saturday,MILITARY TRAIL AND ELL,Mechanical,26,2024-03-16,3,18
32,Wednesday,EGLINTON WEST AND GUES,Emergency Services,40,2024-02-14,2,9
47,Sunday,YORKDALE STATION,Operations - Operator,40,2024-02-18,2,19
25,Wednesday,DON MILLS AND FINCH,Mechanical,18,2024-08-28,8,12
16,Tuesday,MCCOWAN AND BRIMORTON,Mechanical,18,2024-05-07,5,6
336,Saturday,FINCH AND BATHURST,Mechanical,40,2024-06-01,6,3
35,Thursday,PIONEER VILLAGE STATIO,Vision,12,2024-08-29,8,8
984,Monday,SHEPPARD WEST AND WILS,Mechanical,22,2024-06-03,6,15
52,Monday,EGLINTON STATION,Collision - TTC,54,2024-05-13,5,14
200,Saturday,SHEPPARD AND TWYN RIVE,Operations - Operator,40,2024-08-31,8,13
904,Saturday,KENNEDY STATION,Vision,30,2024-09-07,9,8
320,Sunday,YONGE AND SOUDAN,Security,10,2024-08-11,8,2
32,Sunday,YONGE AND STEELES,Utilized Off Route,7,2024-06-02,6,8
16,Wednesday,MCCOWAN AND TOWN CENTR,Collision - TTC,20,2024-09-18,9,15
84,Wednesday,SHEPPARD AND BATHURST,Mechanical,14,2024-03-06,3,14
75,Sunday,SHERBOURNE BETWEEN WEL,Security,40,2024-04-07,4,14
36,Sunday,FINCH AND ARROW,Mechanical,16,2024-04-14,4,10
43,Monday,KENNEDY AND FINCH,Mechanical,20,2024-03-25,3,0
121,Saturday,FRONT AND BAY,Mechanical,40,2024-08-03,8,21
50,Wednesday,BURNHAMTHORPE AND RENF,Security,40,2024-08-14,8,11
189,Sunday,DUNDAS AND KEELE,Mechanical,52,2024-09-22,9,18
133,Saturday,SCARBOROUGH CENTRE STA,Operations - Operator,30,2024-07-13,7,10
47,Sunday,DUPONT AND LANSDOWNE,Utilized Off Route,16,2024-06-23,6,16
34,Tuesday,EGLINTON STATION,Mechanical,15,2024-05-14,5,17
12,Wednesday,KINGSTON AND WARDEN,Security,48,2024-09-25,9,19
161,Sunday,JANE AND ALLIANCE,Mechanical,40,2024-03-03,3,7
12,Thursday,KENNEDY STATION,Utilized Off Route,40,2024-02-29,2,20
925,Thursday,OVERLEA AND WILLIAM MO,Collision - TTC,19,2024-08-29,8,18
25,Monday,DON MILLS AND N OF EGL,Collision - TTC,12,2024-01-15,1,15
68,Thursday,WARDEN AND FINCH,Operations - Operator,14,2024-01-11,1,7
92,Saturday,LAKESHORE AND NORTHERN,Operations - Operator,10,2024-08-10,8,16
985,Thursday,SCARBOROUGH CENTRE STA,Mechanical,30,2024-04-25,4,19
54,Wednesday,LAWRENCE AND MCCOWAN,Mechanical,40,2024-06-26,6,22
32,Sunday,EGLINTON AND HEDDINGTO,Mechanical,30,2024-05-12,5,10
85,Friday,SHEPPARD AND MARKHAM,Operations - Operator,27,2024-07-19,7,11
900,Wednesday,JETLINER AND AIRPORT,Mechanical,188,2024-09-25,9,16
165,Friday,YORK MILLS STATION,Emergency Services,20,2024-03-22,3,0
35,Saturday,JANE AND DUNDAS,Operations - Operator,20,2024-02-03,2,17
38,Monday,KENNEDY STATION,Mechanical,14,2024-04-08,4,11
35,Monday,JANE AND LAWRENCE,Operations - Operator,10,2024-03-11,3,4
939,Wednesday,KENNEDY STATION,Mechanical,24,2024-07-10,7,8
36,Friday,FINCH AND HUMBERLINE,Mechanical,11,2024-03-22,3,10
944,Wednesday,KIPLING AND THE QUEENS,Mechanical,26,2024-04-10,4,13
63,Tuesday,DUFFERIN AND CASTLEFIE,Mechanical,10,2024-08-27,8,17
87,Monday,BROADVIEW STATION,Mechanical,20,2024-08-05,8,22
36,Thursday,ARROW GARAGE,Operations - Operator,40,2024-05-23,5,2
52,Sunday,LAWRENCE WEST STATION,Mechanical,40,2024-03-10,3,12
116,Sunday,EGLINTON AND MASON,Mechanical,18,2024-04-07,4,9
34,Saturday,EGLINTON AND VICTORIA,Operations - Operator,10,2024-09-14,9,7
36,Sunday,FINCH AND WESTMORE,Collision - TTC,12,2024-07-21,7,12
21,Monday,EGLINTON AND BRIMLEY,Operations - Operator,40,2024-07-22,7,15
59,Thursday,OAK AND WESTON,Vision,50,2024-08-08,8,6
29,Wednesday,DUFFERIN AND CASTLEFIE,Operations - Operator,20,2024-06-26,6,15
31,Saturday,GREENWOOD AND COXWELL,Collision - TTC,24,2024-09-07,9,14
111,Sunday,EAST MALL AND CAPRI,Mechanical,30,2024-04-07,4,17
75,Thursday,BLOOR AND SHERBOURNE,Operations - Operator,16,2024-01-11,1,15
45,Saturday,BLOOR AND DUFFERIN,Mechanical,34,2024-02-24,2,3
116,Wednesday,KENNEDY STATION,Emergency Services,20,2024-03-06,3,0
501,Saturday,QUEEN AND SPADINA,Mechanical,16,2024-02-10,2,10
104,Tuesday,WILSON STATION,Operations - Operator,54,2024-06-04,6,7
56,Friday,EGLINTON STATION,Investigation,36,2024-06-28,6,15
133,Saturday,MCCOWAN AND TOWN CENTR,Security,24,2024-04-13,4,14
905,Friday,MORRISH AND ELLESMERE,Cleaning - Unsanitary,16,2024-05-17,5,14
300,Thursday,BLOOR AND JANE,Mechanical,34,2024-08-29,8,2
47,Thursday,OFRUS AND CALEDONIA,General Delay,48,2024-08-01,8,14
53,Wednesday,FINCH STATION,Mechanical,19,2024-01-10,1,11
116,Saturday,MORNINGSIDE AND SEWELL,Mechanical,20,2024-01-06,1,23
52,Wednesday,MARTIN GROVE AND TOLLI,Mechanical,20,2024-08-07,8,19
985,Friday,SHEPPARD AND VICTORIA,Mechanical,30,2024-08-02,8,13
52,Sunday,LAWRENCE AND BATHURST,Mechanical,52,2024-06-23,6,11
84,Wednesday,SHEPPARD STATION,Security,26,2024-01-10,1,16
34,Saturday,EGLINTON AND WARDEN,Security,18,2024-07-13,7,18
996,Wednesday,HUMBER COLLEGE,Emergency Services,24,2024-06-26,6,10
46,Wednesday,KIPLING STATION,Vision,20,2024-03-20,3,8
40,Tuesday,KIPLING STATION,Mechanical,40,2024-04-02,4,12
171,Wednesday,MOUNT DENNIS GARAGE,Mechanical,70,2024-02-28,2,15
929,Thursday,DUFFERIN AND ROGERS,Operations - Operator,16,2024-08-29,8,13
34,Friday,EGLINTON STATION,Utilized Off Route,34,2024-04-26,4,15
111,Sunday,THE EAST MALL AND CAPR,Mechanical,30,2024-04-14,4,16
