Route,Day,Location,Incident,Min Gap,Date_,Month,Hour
29,Tuesday,DUFFERIN AND SPRINGHUR,Operations - Operator,16,2024-03-12,3,11
165,Tuesday,WESTON AND STEELES,Mechanical,20,2024-07-30,7,1
96,Saturday,JANE AND WILSON,Operations - Operator,20,2024-08-17,8,13
20,Sunday,DANFORTH AND BIRCHMONT,Security,37,2024-04-28,4,12
939,Tuesday,SCARBOROUGH CENTRE STA,Security,18,2024-04-30,4,23
960,Wednesday,SIGNAL HILL AND STEELE,Mechanical,22,2024-01-24,1,12
77,Thursday,WINDERMERE AND WINDERM,Mechanical,27,2024-07-25,7,21
904,Tuesday,KENNEDY STATION,Operations - Operator,30,2024-09-24,9,16
985,Thursday,SHEPPARD AND MIDLAND,Mechanical,24,2024-01-18,1,11
85,Saturday,ROUGE HILL GO STATION,Mechanical,24,2024-09-21,9,13
84,Tuesday,SHEPPARD WEST AND BANT,Mechanical,20,2024-05-21,5,8
122,Tuesday,YORK MILLS AND BIRCHWO,Mechanical,30,2024-07-16,7,15
110,Thursday,ISLINGTON AND SAYBROOK,Utilized Off Route,44,2024-04-25,4,17
945,Monday,KIPLING AND DIXON,Emergency Services,20,2024-03-25,3,18
47,Thursday,LANSDOWNE AND ST CLAIR,Collision - TTC,12,2024-06-13,6,18
47,Saturday,LANSDOWNE STATION,General Delay,36,2024-08-24,8,10
86,Saturday,WALLSEND AND CORONATIO,Mechanical,42,2024-08-24,8,18
35,Sunday,PIONEER VILLAGE STATIO,Security,20,2024-06-16,6,0
98,Tuesday,STEELES AND YONGE,Cleaning - Unsanitary,40,2024-03-26,3,16
960,Wednesday,FINCH STATION,Emergency Services,18,2024-07-31,7,17
29,Thursday,DUFFERIN AND DUFFERIN,Mechanical,20,2024-06-27,6,11
32,Tuesday,BROADVIEW STATION,Vision,34,2024-01-30,1,1
927,Monday,KIPLING STATION,Operations - Operator,20,2024-09-09,9,20
45,Wednesday,KIPLING AND REXDALE,Cleaning - Unsanitary,20,2024-09-18,9,15
11,Friday,AVENUE AND FAIRLAWN,Mechanical,44,2024-06-21,6,6
39,Monday,NEILSON AND CROW TRAIL,Mechanical,10,2024-01-01,1,20
7,Sunday,BATHURST AND EGLNTON,Investigation,20,2024-08-04,8,12
35,Friday,JANE AND WILSON,Mechanical,16,2024-01-12,1,13
70,Friday,O'CONNOR AND CURITY,Collision - TTC,20,2024-09-27,9,17
75,Wednesday,O'CONNOR AND WOODBINE,Mechanical,14,2024-08-14,8,5
54,Thursday,EGLINTON AND BRENTCLIF,Investigation,14,2024-05-23,5,8
37,Wednesday,HUMBERWOOD LOOP,Emergency Services,37,2024-06-26,6,8
995,Friday,YORK MILLS AND CHIPSTE,Security,19,2024-09-06,9,15
952,Thursday,ARROW GARAGE,Operations - Operator,20,2024-06-13,6,6
925,Saturday,FRESH MEADOW AND DON M,Mechanical,22,2024-07-06,7,16
86,Thursday,EGLINTON EAST AND DANF,Mechanical,36,2024-07-04,7,16
902,Tuesday,WARDEN STATION,Mechanical,24,2024-09-10,9,10
900,Saturday,PEARSON AIRPORT,Operations - Operator,20,2024-07-20,7,19
60,Wednesday,FINCH STATION,Security,10,2024-08-07,8,5
125,Friday,BATHURST AND ANTIBES,Operations - Operator,19,2024-05-10,5,10
95,Saturday,ELLESMERE AND WARDEN,Investigation,28,2024-02-17,2,15
54,Sunday,ORTON PARK AND LAWRENC,Security,30,2024-03-17,3,10
47,Thursday,YORKDALE STATION,Operations - Operator,48,2024-05-30,5,14
